Age,Height,Winner,Rank,Country Score,Country,Population,Literacy,Country Age,GDP pre capita,Beauty Score,Year
23,176,1,15,64,France,66259012,99,1170,34350.04434,,2010
21,177,0,-1,35,Georgia,9992000,99,280,3596,,2010
26,175,0,-1,85,Germany,80996685,99,142,39841.13671,,2010
22,176,0,-1,39,Ghana,25758108,71.5,56,3509.962766,,2010
20,173,0,-1,39,Great Britain,63742977,99,306,37447.26262,,2010
20,179,0,-1,81,Greece,10775557,97.3,184,24787.58175,,2010
25,170,0,-1,49,Guam,165124,95.91,79,28700,,2010
20,170,1,10,40,Guatemala,14647083,75.9,192,5564.930574,,2010
22,173,0,-1,35,Guyana,735554,91.8,47,8963.312007,,2010
24,173,0,-1,87,Haiti,9996731,48.7,209,1342.438843,,2010
26,173,0,-1,37,Honduras,8598561,85.1,192,4562.391312,,2010
19,173,0,-1,45,Hungary,9919128,99,1012,19820.29065,,2010
22,173,0,-1,110,India,1236344631,62.8,66,4036.091455,,2010
19,173,0,-1,43,Indonesia,253609643,92.8,68,5066.842036,,2010
19,180,1,10,57,Ireland,4595000,99,94,47399,,2010
22,173,0,-1,84,Israel,7821850,97.1,65,34927.79841,,2010
20,178,0,-1,71,Italy,61680122,99,152,29263.88505,,2010
24,178,0,1,52,Jamaica,2930050,87,151,8576.64545,,2010
26,173,0,-1,228,Japan,127103388,99,66,37205.93191,,2010
27,173,0,-1,35,Kazakhstan,17948816,99.7,22,13571.92586,,2010
22,173,0,-1,55,"Korea, South",49039986,97.9,68,33972.27724,,2010
23,175,0,-1,145,Kosovo,1824000,91.9,5,3815,,2010
22,174,0,-1,58,Lebanon,5882562,89.6,70,10932.31147,,2010
23,173,0,-1,36,Malaysia,30073353,93.1,56,17457.31512,,2010
23,173,0,-1,35,Mauritius,1331155,88.8,45,15738.2123,,2010
22,174,1,0,95,Mexico,120286655,93.5,203,15338.35985,,2010
23,173,0,-1,72,Netherlands,16877351,99,434,41457.92785,,2010
21,173,0,-1,62,New Zealand,4401916,99,106,30895.63726,,2010
18,177,0,-1,42,Nicaragua,5848641,78,192,4782.307548,,2010
22,177,0,-1,38,Nigeria,177155754,61.3,53,2701.013031,,2010
23,173,0,-1,91,Norway,5147792,100,108,54819.61975,,2010
22,175,0,-1,61,Panama,3608431,94.1,110,17054.50374,,2010
23,175,0,-1,57,Paraguay,6703860,93.9,202,6846.801693,,2010
22,176,0,-1,66,Peru,30147935,89.6,192,11410.40008,,2010
22,176,1,4,113,Philippines,107668231,95.4,115,4219.443338,,2010
23,180,0,-1,62,Poland,38346279,99.7,95,21227.61377,,2010
21,170,1,10,139,Puerto Rico,3615000,92,115,28529,,2010
19,175,0,-1,35,Romania,21729871,97.7,136,13276.65498,,2010
18,178,1,15,104,Russia,142470272,99.7,22,17919.5278,,2010
22,173,0,-1,35,Serbia,7209764,98,7,11161.25299,,2010
22,173,0,-1,38,Singapore,5567301,95.9,48,60891.26491,,2010
25,173,0,-1,39,Slovak Republic,5415949,92,95,21664,,2010
24,175,0,-1,41,Slovenia,2060000,99,22,46.83,,2010
22,168,1,10,115,South Africa,48375645,93,103,12314.0477,,2010
24,174,0,-1,102,Spain,47737941,98,522,30113,,2010
23,170,0,-1,43,Sweden,9723809,99,490,40498.53303,,2010
19,174,0,-1,133,Switzerland,8061516,99,722,46045.92982,,2010
22,177,0,-1,60,Switzerland,8061516,99,722,46045.92982,,2010
23,173,0,-1,45,Tanzania,49639138,67.8,49,1597.328302,,2010
